Frame:432 FPS:21.6287 iou:0.699975
Frame:433 FPS:21.9869 iou:0.707393
Frame:434 FPS:22.2294 iou:0.713359
Frame:435 FPS:22.2061 iou:0.715779
Frame:436 FPS:21.6449 iou:0.721786
Frame:437 FPS:22.0826 iou:0.732071
Frame:438 FPS:22.0555 iou:0.712972
Frame:439 FPS:22.2569 iou:0.728764
Frame:440 FPS:22.2518 iou:0.722851
Frame:441 FPS:22.793 iou:0.731474
Frame:442 FPS:22.2051 iou:0.730233
Frame:443 FPS:22.2012 iou:0.728704
Frame:444 FPS:21.6442 iou:0.724189
Frame:445 FPS:21.7125 iou:0.737732
Frame:446 FPS:22.3844 iou:0.73669
Frame:447 FPS:22.5549 iou:0.735818
Frame:448 FPS:22.0096 iou:0.744161
Frame:449 FPS:22.5775 iou:0.738891
Frame:450 FPS:22.1847 iou:0.732694
Frame:451 FPS:21.8391 iou:0.730177
Frame:452 FPS:21.5619 iou:0.726418
Frame:453 FPS:22.6394 iou:0.734868
Frame:454 FPS:22.2647 iou:0.737768
Frame:455 FPS:22.5001 iou:0.735711
Frame:456 FPS:22.5022 iou:0.739955
Frame:457 FPS:22.0352 iou:0.735976
Frame:458 FPS:21.8475 iou:0.733073
Frame:459 FPS:21.5818 iou:0.735032
Frame:460 FPS:22.2685 iou:0.736904
Frame:461 FPS:21.1478 iou:0.736395
Frame:462 FPS:22.032 iou:0.732492
Frame:463 FPS:19.4819 iou:0.734448
Frame:464 FPS:19.2859 iou:0.73441
Frame:465 FPS:19.4766 iou:0.733352
Frame:466 FPS:22.5328 iou:0.735854
Frame:467 FPS:22.5574 iou:0.727869
Frame:468 FPS:22.5072 iou:0.720981
Frame:469 FPS:22.8478 iou:0.72433
Frame:470 FPS:22.1624 iou:0.719903
Frame:471 FPS:22.6898 iou:0.720963
Frame:472 FPS:21.9499 iou:0.727056
Frame:473 FPS:22.1372 iou:0.737022
Frame:474 FPS:22.2149 iou:0.739084
Frame:475 FPS:22.1813 iou:0.732913
Frame:476 FPS:21.9307 iou:0.739838
Frame:477 FPS:22.4148 iou:0.731837
Frame:478 FPS:22.5588 iou:0.735777
Frame:479 FPS:21.9293 iou:0.727305
Frame:480 FPS:22.0873 iou:0.722627
Frame:481 FPS:21.899 iou:0.738545
Frame:482 FPS:22.8847 iou:0.733152
Frame:483 FPS:22.6472 iou:0.719232
Frame:484 FPS:22.364 iou:0.720358
Frame:485 FPS:22.7524 iou:0.718095
Frame:486 FPS:22.9107 iou:0.718692
Frame:487 FPS:22.0272 iou:0.720116
Frame:488 FPS:22.4171 iou:0.721828
Frame:489 FPS:22.2315 iou:0.725201
Frame:490 FPS:22.354 iou:0.728827
Frame:491 FPS:22.7073 iou:0.731465
Frame:492 FPS:22.5656 iou:0.73574
Frame:493 FPS:21.9819 iou:0.733273
Frame:494 FPS:21.289 iou:0.736801
Frame:495 FPS:22.451 iou:0.734876
Frame:496 FPS:22.8108 iou:0.722124
Frame:497 FPS:22.3671 iou:0.720546
Frame:498 FPS:21.3251 iou:0.709148
Frame:499 FPS:22.2364 iou:0.71055
Frame:500 FPS:19.2763 iou:0.712245
Frame:501 FPS:19.3666 iou:0.716619
Frame:502 FPS:19.371 iou:0.720713
Frame:503 FPS:19.5743 iou:0.731008
Frame:504 FPS:18.3168 iou:0.730437
Frame:505 FPS:22.6274 iou:0.709534
Frame:506 FPS:22.1826 iou:0.721849
Frame:507 FPS:22.3005 iou:0.715582
Frame:508 FPS:22.5278 iou:0.710909
Frame:509 FPS:22.4749 iou:0.70422
Frame:510 FPS:23.1899 iou:0.703226
Frame:511 FPS:23.0872 iou:0.705022
Frame:512 FPS:22.6132 iou:0.696133
Frame:513 FPS:22.5688 iou:0.709814
Frame:514 FPS:22.1863 iou:0.7061
Frame:515 FPS:22.5001 iou:0.705931
Frame:516 FPS:22.4889 iou:0.699593
Frame:517 FPS:22.0972 iou:0.708347
Frame:518 FPS:22.0679 iou:0.708532
Frame:519 FPS:22.1859 iou:0.700858
Frame:520 FPS:22.09 iou:0.712991
Frame:521 FPS:21.6368 iou:0.71377
Frame:522 FPS:22.415 iou:0.727198
Frame:523 FPS:22.1076 iou:0.690442
Frame:524 FPS:21.8764 iou:0.700951
Frame:525 FPS:22.7262 iou:0.678592
Frame:526 FPS:22.4298 iou:0.677055
Frame:527 FPS:22.3192 iou:0.675017
Frame:528 FPS:21.929 iou:0.690863
Frame:529 FPS:21.1083 iou:0.674268
Frame:530 FPS:20.9165 iou:0.679728
Frame:531 FPS:21.5594 iou:0.687365
Frame:532 FPS:19.1701 iou:0.687891
Frame:533 FPS:17.9663 iou:0.696875
Frame:534 FPS:18.3452 iou:0.684905
Frame:535 FPS:18.3888 iou:0.68981
Frame:536 FPS:15.942 iou:0.67855
Frame:537 FPS:17.3268 iou:0.676641
Frame:538 FPS:17.8073 iou:0.660959
Frame:539 FPS:16.3814 iou:0.648608
Frame:540 FPS:16.6227 iou:0.614377
Frame:541 FPS:18.8125 iou:0.61883
Frame:542 FPS:17.1544 iou:0.633153
Frame:543 FPS:19.2635 iou:0.633877
Frame:544 FPS:20.5774 iou:0.638029
Frame:545 FPS:18.4557 iou:0.642345
Frame:546 FPS:18.7908 iou:0.650249
Frame:547 FPS:19.1098 iou:0.650824
Frame:548 FPS:20.4636 iou:0.651107
Frame:549 FPS:15.9176 iou:0.655352
Frame:550 FPS:17.3757 iou:0.653036
Frame:551 FPS:18.9926 iou:0.654673
Frame:552 FPS:20.7786 iou:0.66965
Frame:553 FPS:22.2199 iou:0.677725
Frame:554 FPS:20.8576 iou:0.685133
Frame:555 FPS:21.4253 iou:0.687191
Frame:556 FPS:21.2197 iou:0.668203
Frame:557 FPS:19.9455 iou:0.667491
Frame:558 FPS:15.6139 iou:0.657191
Frame:559 FPS:20.4743 iou:0.662377
Frame:560 FPS:17.974 iou:0.655619
Frame:561 FPS:22.0603 iou:0.654011
Frame:562 FPS:21.0936 iou:0.6583
Frame:563 FPS:19.5783 iou:0.659591
Frame:564 FPS:20.1247 iou:0.659088
Frame:565 FPS:21.3267 iou:0.666016
Frame:566 FPS:19.5706 iou:0.674611
Frame:567 FPS:21.5862 iou:0.675067
Frame:568 FPS:20.6663 iou:0.669173
Frame:569 FPS:20.0187 iou:0.672116
Frame:570 FPS:21.3558 iou:0.673649
Frame:571 FPS:21.29 iou:0.675301
Frame:572 FPS:20.4393 iou:0.677799
Frame:573 FPS:21.6326 iou:0.686557
Frame:574 FPS:20.8322 iou:0.66073
Frame:575 FPS:19.4917 iou:0.663051
Frame:576 FPS:21.0044 iou:0.665192
Frame:577 FPS:21.6592 iou:0.652888
Frame:578 FPS:19.9026 iou:0.662591
Frame:579 FPS:20.6295 iou:0.664981
Frame:580 FPS:21.1685 iou:0.669389
Frame:581 FPS:20.6236 iou:0.680928
Frame:582 FPS:21.3681 iou:0.686682
Frame:583 FPS:17.0516 iou:0.681946
Frame:584 FPS:14.1844 iou:0.700698
Frame:585 FPS:10.4396 iou:0.704351
Frame:586 FPS:12.0234 iou:0.682639
Frame:587 FPS:13.7852 iou:0.651636
Frame:588 FPS:19.1256 iou:0.654979
Frame:589 FPS:21.9984 iou:0.649098
Frame:590 FPS:20.3042 iou:0.651635
Frame:591 FPS:19.5353 iou:0.670068
Frame:592 FPS:20.8414 iou:0.673193
Frame:593 FPS:16.0862 iou:0.665734
Frame:594 FPS:17.4482 iou:0.669022
Frame:595 FPS:19.0412 iou:0.668135
Frame:596 FPS:19.0117 iou:0.670056
Frame:597 FPS:19.6895 iou:0.674984
Frame:598 FPS:20.9803 iou:0.690558
Frame:599 FPS:18.8591 iou:0.667608
Frame:600 FPS:19.5929 iou:0.674807
Frame:601 FPS:21.0189 iou:0.6782
Frame:602 FPS:19.5402 iou:0.667387
Frame:603 FPS:20.3375 iou:0.66013
Frame:604 FPS:21.2788 iou:0.667461
Frame:605 FPS:19.2322 iou:0.673435
Frame:606 FPS:20.0013 iou:0.675832
Frame:607 FPS:19.8026 iou:0.676344
Frame:608 FPS:19.0702 iou:0.652659
Frame:609 FPS:19.7424 iou:0.639877
Frame:610 FPS:21.5982 iou:0.642744
Frame:611 FPS:19.8858 iou:0.648148
