Frame:510 FPS:29.398 iou:0.496088
Frame:511 FPS:18.5373 iou:0.497663
Frame:512 FPS:26.4678 iou:0.528699
Frame:513 FPS:30.3371 iou:0.544835
Frame:514 FPS:30.7866 iou:0.602859
Frame:515 FPS:30.7546 iou:0.521971
Frame:516 FPS:30.7474 iou:0.543974
Frame:517 FPS:19.037 iou:0.524336
Frame:518 FPS:18.8771 iou:0.502525
Frame:519 FPS:30.4613 iou:0.502025
Frame:520 FPS:29.7832 iou:0.489942
Frame:521 FPS:30.2831 iou:0.462207
Frame:522 FPS:31.0189 iou:0.458538
Frame:523 FPS:19.0234 iou:0.435149
Frame:524 FPS:18.8415 iou:0.437485
Frame:525 FPS:30.587 iou:0.399513
Frame:526 FPS:29.9959 iou:0.392782
Frame:527 FPS:31.3738 iou:0.378917
Frame:528 FPS:30.8493 iou:0.376802
Frame:529 FPS:18.9594 iou:0.385767
Frame:530 FPS:18.7432 iou:0.412001
Frame:531 FPS:30.8861 iou:0.459009
Frame:532 FPS:29.9975 iou:0.440974
Frame:533 FPS:30.8924 iou:0.485822
Frame:534 FPS:29.5374 iou:0.499418
Frame:535 FPS:28.057 iou:0.498497
Frame:536 FPS:27.2196 iou:0.505526
Frame:537 FPS:28.832 iou:0.528698
Frame:538 FPS:30.6255 iou:0.531517
Frame:539 FPS:28.5483 iou:0.519068
Frame:540 FPS:30.7814 iou:0.497661
Frame:541 FPS:18.827 iou:0.507399
Frame:542 FPS:19.0432 iou:0.524785
Frame:543 FPS:30.7978 iou:0.503711
Frame:544 FPS:29.3453 iou:0.480866
Frame:545 FPS:30.9844 iou:0.517217
Frame:546 FPS:30.1459 iou:0.489587
Frame:547 FPS:18.7529 iou:0.488389
Frame:548 FPS:18.5763 iou:0.471319
Frame:549 FPS:30.5531 iou:0.459443
Frame:550 FPS:31.2576 iou:0.492512
Frame:551 FPS:30.7979 iou:0.46511
Frame:552 FPS:30.339 iou:0.490356
Frame:553 FPS:17.7513 iou:0.510779
Frame:554 FPS:19.2266 iou:0.49479
Frame:555 FPS:30.5792 iou:0.470531
Frame:556 FPS:30.2459 iou:0.456762
Frame:557 FPS:30.053 iou:0.517011
Frame:558 FPS:30.6041 iou:0.503099
Frame:559 FPS:19.1334 iou:0.491032
Frame:560 FPS:18.6843 iou:0.528698
Frame:561 FPS:30.5619 iou:0.466425
Frame:562 FPS:30.8316 iou:0.489069
Frame:563 FPS:30.3077 iou:0.436601
Frame:564 FPS:30.4663 iou:0.398214
Frame:565 FPS:19.0068 iou:0.399404
Frame:566 FPS:18.8025 iou:0.399462
Frame:567 FPS:30.4776 iou:0.417268
Frame:568 FPS:29.781 iou:0.449749
Frame:569 FPS:30.8776 iou:0.424719
Frame:570 FPS:30.3162 iou:0.43335
Frame:571 FPS:18.7155 iou:0.414527
Frame:572 FPS:18.9384 iou:0.432152
Frame:573 FPS:30.3628 iou:0.417435
Frame:574 FPS:30.7811 iou:0.474761
Frame:575 FPS:30.4379 iou:0.479367
Frame:576 FPS:29.7922 iou:0.470803
Frame:577 FPS:18.8072 iou:0.474255
Frame:578 FPS:18.8595 iou:0.436902
Frame:579 FPS:30.6016 iou:0.43022
Frame:580 FPS:29.5771 iou:0.367234
Frame:581 FPS:30.3826 iou:0.363344
Frame:582 FPS:29.1272 iou:0.331975
Frame:583 FPS:18.7142 iou:0.352257
Frame:584 FPS:18.9118 iou:0.355404
Frame:585 FPS:30.6082 iou:0.388452
Frame:586 FPS:30.0147 iou:0.372433
Frame:587 FPS:30.3315 iou:0.35818
Frame:588 FPS:30.0876 iou:0.354087
Frame:589 FPS:18.979 iou:0.346624
Frame:590 FPS:20.5904 iou:0.386499
Frame:591 FPS:29.5317 iou:0.399137
Frame:592 FPS:30.5686 iou:0.377897
Frame:593 FPS:29.6082 iou:0.373873
Frame:594 FPS:29.4397 iou:0.349753
Frame:595 FPS:18.1806 iou:0.354225
Frame:596 FPS:19.3512 iou:0.367599
Frame:597 FPS:29.6613 iou:0.341826
Frame:598 FPS:29.2169 iou:0.351249
Frame:599 FPS:30.5492 iou:0.349229
Frame:600 FPS:28.8356 iou:0.352092
Frame:601 FPS:18.2894 iou:0.353511
Frame:602 FPS:19.0757 iou:0.357476
Frame:603 FPS:29.3571 iou:0.357813
Frame:604 FPS:29.7779 iou:0.364982
Frame:605 FPS:30.6338 iou:0.364298
Frame:606 FPS:29.1965 iou:0.368051
Frame:607 FPS:18.1961 iou:0.372831
Frame:608 FPS:19.1026 iou:0.360214
Frame:609 FPS:29.0566 iou:0.366928
